"","id","nom","inscrits","abst","blancs","joly","lepen","sarkozy","melenchon","poutou","arthaud","cheminade","bayrou","dupont.aignan","hollande"
"44","0307","ECOLE PAUL PAINLEVE",1007,19.27,0.86,6.95,7.2,26.8,14.14,0.5,0.12,0.37,11.17,1.61,31.14
"45","0308","ECOLE PAUL PAINLEVE",1013,20.43,1.12,3.64,5.27,28.86,13.8,0.5,0.5,0.75,10.04,0.5,36.14
"46","0309","ECOLE PAUL PAINLEVE",1149,21.93,0.89,6.75,4.5,25.31,14.85,1.12,0.79,0.34,10.8,1.12,34.42
"47","0310","ECOLE SAINT EXUPERY",1203,23.86,0.98,3.75,6.84,18.63,18.19,0.88,0.22,0.11,10.8,1.32,39.25
"48","0311","ECOLE SAINT EXUPERY",1013,18.95,0.97,4.31,7.38,34.93,9.96,0,0.12,0.37,10.21,0.98,31.73
"49","0312","ECOLE ETIENNE DOLET",1284,17.06,1.69,3.15,7.64,38.78,8.4,0.29,0.38,0.19,11.84,1.72,27.6
"50","0313","ECOLE ETIENNE DOLET",1227,21.76,1.25,5.27,7.07,25.32,15.08,1.37,0.32,0.21,11.18,0.74,33.44
"51","0314","GYMNASE MAZENOD",1127,20.32,1,5.74,7.2,29.7,14.74,0.56,0.11,0.22,8.44,1.46,31.83
"52","0315","GYMNASE MAZENOD",1228,23.13,1.48,5.81,9.25,22.47,12.58,0.86,0.32,0,10.54,0.97,37.2
"53","0316","ECOLE LEON JOUHAUX",1063,15.9,1.23,4.42,9.4,27.52,11.44,0.68,0.45,0.45,12.23,1.25,32.16
"54","0317","ECOLE LEON JOUHAUX",1159,23.47,1.35,2.4,9.14,25.49,12.8,1.03,0.57,0.34,13.94,1.94,32.34
"55","0318","ECOLE LEON JOUHAUX",1139,19.14,1.09,4.06,10.87,27.44,9.99,0.99,0.33,0.55,12.73,1.43,31.61
"56","0319","ECOLE ANTOINE CHARIAL",862,26.22,1.26,4.78,11.31,32.17,10.83,1.11,0.8,0.32,5.89,1.11,31.69
"57","0320","ECOLE ANTOINE CHARIAL",816,17.03,1.03,4.48,10.15,23.28,12.24,1.04,0.45,0.15,13.73,1.79,32.69
"58","0321","ECOLE GEORGES POMPIDOU",1098,21.58,0.81,3.28,13.58,32.2,7.38,0.47,0.23,0.35,11.59,0.7,30.21
"59","0322","ECOLE LAURENT MOURGUET",1315,37.64,1.46,3.47,8.79,29.21,13,0.37,0,0.12,12,0.87,32.18
"60","0323","ECOLE LAURENT MOURGUET",1292,20.59,1.27,2.67,8.29,26.46,11.35,0.99,0.3,0.2,12.54,1.48,35.74
"61","0324","ECOLE ANTOINE CHARIAL",1280,19.69,2.33,5.08,8.17,24.1,11.65,1.39,0.9,0.1,12.05,1.59,34.96
"62","0325","ECOLE ANTOINE CHARIAL",1015,25.12,1.84,3.35,10.46,23.32,13.14,0.8,0.27,0.13,11.8,0.67,36.06
"63","0326","ECOLE MEYNIS",1429,18.54,1.8,2.71,8.75,23.97,11.64,0.96,0.26,0.44,13.39,2.01,35.87
"64","0327","ECOLE MEYNIS",949,20.55,2.39,4.76,9.38,21.6,13.32,0.68,0.54,0.54,11.28,1.63,36.28
"65","0328","ECOLE MEYNIS",1446,21.58,1.85,4.04,9.61,22.82,12.85,0.99,0.27,0.09,12.67,1.53,35.13
"66","0329","ECOLE JULES VERNE",1108,20.94,1.14,5.08,14.67,26.1,11.32,0.81,0.12,0.12,12.47,1.62,27.71
"67","0330","ECOLE JULES VERNE",1209,19.27,1.02,3.42,15.53,25.98,10.14,0.93,0.72,0,10.14,1.45,31.68
"68","0331","ECOLE ANATOLE FRANCE",1308,16.67,1.47,4,13.5,31.38,12.01,0.56,0.28,0.28,12.1,1.02,24.86
"69","0332","ECOLE ANATOLE FRANCE",1236,16.59,1.65,3.45,13.21,35.31,8.48,0.3,0.3,0.1,12.72,1.68,24.46
"70","0333","ECOLE ANATOLE FRANCE",1408,19.74,1.24,2.69,10.22,37.37,9.23,0.27,0.18,0.27,12.9,1.08,25.81
"71","0334","ECOLE ANATOLE FRANCE",1142,20.49,1.32,3.68,14.17,31.7,11.61,0.56,0.89,0,10.16,1.45,25.78
